event_id,event_type,severity,source,details,event_value,logged_at
1778426340922987708,metrics_export_completed,info,orchestrator-service,snapshot exported; transitions=7,7,2026-05-10T15:19:00Z
1778426518814571805,metrics_export_completed,info,orchestrator-service,snapshot exported; transitions=7,7,2026-05-10T15:21:58Z
1778426928823929509,metrics_export_completed,info,orchestrator-service,snapshot exported; transitions=1,8,2026-05-10T15:28:48Z
1778427348889329425,metrics_export_completed,info,orchestrator-service,snapshot exported; transitions=1,9,2026-05-10T15:35:48Z
1778427498900514050,metrics_export_completed,info,orchestrator-service,snapshot exported; transitions=1,10,2026-05-10T15:38:18Z
1778427618892155800,metrics_export_completed,info,orchestrator-service,snapshot exported; transitions=1,11,2026-05-10T15:40:18Z
1778427668894744795,metrics_export_completed,info,orchestrator-service,snapshot exported; transitions=1,12,2026-05-10T15:41:08Z
1778429813700242755,metrics_export_completed,info,orchestrator-service,snapshot exported; new_transitions=1,1,2026-05-10T16:16:53Z
1778429973701120426,metrics_export_completed,info,orchestrator-service,snapshot exported; new_transitions=1,1,2026-05-10T16:19:33Z
